id,qid1,qid2,question1,question2,labels
27,55,56,how to extend the visit visa after 6 months and how long period?. want to extend the visit visa. What are the procedures and how long i get the extension. thanks for the answers...,Business Visa and NOC. Hello everyone; I'm already here in Qatar a month ago under business visa with my sponsor. Do I still need an NOC in order to apply for another company here in Qatar if ever I decide to go home on the 3 month period of the business visa? Thanks.,0
28,57,58,how to extend the visit visa after 6 months and how long period?. want to extend the visit visa. What are the procedures and how long i get the extension. thanks for the answers...,Absconding. I'm outside of Qatar for 5 months now; I filed a resignation to my company but they did not allow me. I had to take an emergency leave because of some issues in my homeland. I'm aware that the visa/rp will be cancelled after 6 months of being outside the country but can my employer file an absconding case against me on the ground of non-returning from emergency leave?,1
29,59,60,how to extend the visit visa after 6 months and how long period?. want to extend the visit visa. What are the procedures and how long i get the extension. thanks for the answers...,Changing your profession on Residence visa. My profession shown in my residence visa is Technician whereas in reality I am working as Manager. I tried to change my profession from Technician to Manager through our agent but for some reason he is saying it is not possible. I have Masters in Business administration and Masters in Geology. I really wonder why this change can't be done. Does any body has any suggestion of how to do this change?,0
30,61,62,how can my boyfriend get me and our baby son a visit visa there?. How can my boyfriend who currently works for a government office there get me and our baby a visit visa? How long can we stay there in doha and can we also get married there as well? Can we stay together in his house there? Can you give us advice and the steps to take for getting visa and requirements for marriage there in Qatar? It will be greatly appreciated.Thanks in advance,Family visa. Hello I would like to know what are the required documents for applying for family visa; Already my wife is in qatar on visit visa. I need to change it to Family visa for RP. Please anyone tell me what all I require. * Regarding the bank statement ; is three(3) months bank statement enough? cause i can give only for three months. I opened an account only this month.. Pls advice.. Thank you. With regards. ,1
31,63,64,how can my boyfriend get me and our baby son a visit visa there?. How can my boyfriend who currently works for a government office there get me and our baby a visit visa? How long can we stay there in doha and can we also get married there as well? Can we stay together in his house there? Can you give us advice and the steps to take for getting visa and requirements for marriage there in Qatar? It will be greatly appreciated.Thanks in advance,Visa cancellation without passport. Can my sponsor cancel my visa even without my passport? Thank you guys...,0
32,65,66,how can my boyfriend get me and our baby son a visit visa there?. How can my boyfriend who currently works for a government office there get me and our baby a visit visa? How long can we stay there in doha and can we also get married there as well? Can we stay together in his house there? Can you give us advice and the steps to take for getting visa and requirements for marriage there in Qatar? It will be greatly appreciated.Thanks in advance,any favours for qatar born expatriates?. well; as far as the western countries are concerned they are giving special care for the expat born there . i doesnt seem to happen here in qatar from the government point of view or i may dont know any such favours kindly reply with ur experience please.....,0
33,67,68,how can my boyfriend get me and our baby son a visit visa there?. How can my boyfriend who currently works for a government office there get me and our baby a visit visa? How long can we stay there in doha and can we also get married there as well? Can we stay together in his house there? Can you give us advice and the steps to take for getting visa and requirements for marriage there in Qatar? It will be greatly appreciated.Thanks in advance,Via Hongkong Before Coming to Doha.. Tatanong lang po kung sino man sa mga kabayan natin ang nag Hongkong muna (nag tour man o hindi) tapos pumunta ng Qatar. Ano ba ang mga tinatanong na mga reequirements ng Hongkong immigration kung papunta ka dito sa Qatar?,0
34,69,70,how can my boyfriend get me and our baby son a visit visa there?. How can my boyfriend who currently works for a government office there get me and our baby a visit visa? How long can we stay there in doha and can we also get married there as well? Can we stay together in his house there? Can you give us advice and the steps to take for getting visa and requirements for marriage there in Qatar? It will be greatly appreciated.Thanks in advance,Park House School. Does anyone out there have a child in this school? We are moving out next month and have a place at Park House for our 7yrs son. What is it like. Feedback please!!!!,0
35,71,72,how can my boyfriend get me and our baby son a visit visa there?. How can my boyfriend who currently works for a government office there get me and our baby a visit visa? How long can we stay there in doha and can we also get married there as well? Can we stay together in his house there? Can you give us advice and the steps to take for getting visa and requirements for marriage there in Qatar? It will be greatly appreciated.Thanks in advance,Family visit visa extension in Imigration?. Dear you know imigration having any particular time for extending family visit visa? In doha; imigration office only in madina kalifa or ? which time & which days captain available there? We need to extend our family visit visa this month end then six months finished... Please help me ...,1
36,73,74,how can my boyfriend get me and our baby son a visit visa there?. How can my boyfriend who currently works for a government office there get me and our baby a visit visa? How long can we stay there in doha and can we also get married there as well? Can we stay together in his house there? Can you give us advice and the steps to take for getting visa and requirements for marriage there in Qatar? It will be greatly appreciated.Thanks in advance,Wrong gender on the Visa. i have applied for a visit visa for my wife; the visa is printed and delivered but the gender on the visa is wrong. Funny thing is that the Profession mentioned is Housewife and the gender entered in the visa is Male. So i don't know what to do now and whom to call? and how long it will take to correct it?,0
37,75,76,how can my boyfriend get me and our baby son a visit visa there?. How can my boyfriend who currently works for a government office there get me and our baby a visit visa? How long can we stay there in doha and can we also get married there as well? Can we stay together in his house there? Can you give us advice and the steps to take for getting visa and requirements for marriage there in Qatar? It will be greatly appreciated.Thanks in advance,Teenagers in Qatar. Has anybody dragged very reluctant teenagers to Qatar? How did they adapt after getting there. My 14yr old was initially quite keen but as time is getting closer to us leaving home he is protesting and being very negative about coming to Qatar. Does anyone have any suggestions on how to cope with this behaviour?,0
38,77,78,how can my boyfriend get me and our baby son a visit visa there?. How can my boyfriend who currently works for a government office there get me and our baby a visit visa? How long can we stay there in doha and can we also get married there as well? Can we stay together in his house there? Can you give us advice and the steps to take for getting visa and requirements for marriage there in Qatar? It will be greatly appreciated.Thanks in advance,Girlfriend visiting; hotel problem?. A friend of mine asked me to post this question His girlfriend is coming to visit him from the US and they wanna stay at a hotel; would it be ok for them to take a hotel room?,1
39,79,80,how can my boyfriend get me and our baby son a visit visa there?. How can my boyfriend who currently works for a government office there get me and our baby a visit visa? How long can we stay there in doha and can we also get married there as well? Can we stay together in his house there? Can you give us advice and the steps to take for getting visa and requirements for marriage there in Qatar? It will be greatly appreciated.Thanks in advance,Boarding School in Qatar. Hi. Does anyone know of any English speaking middle/high school with a boarding facility in Qatar? If not; is there anyone who has a child/children in a boarding school elsewhere? In what country? Any information will be very much appreciated! Thank you!,0
40,81,82,Is it cheaper to buy new clothes in Qatar than pay to transport them over from the UK?. I begin employment in Qatar Aug 09 and have just been quoted 1000 to have them flown over. Is it worth the hassle of customs or should i buy new? How do prices compare UK Next with Qatar Next?,What should I ship/What should I purchase out there?. This post does what it says on the tin. Any advice? I'm coming from the UK. What kind of things should I be thinking about shipping; what stuff should I leave behind and buy when I get out there? Thank you or should I start practising and say 'shukran' now? :o),1
41,83,84,Is it cheaper to buy new clothes in Qatar than pay to transport them over from the UK?. I begin employment in Qatar Aug 09 and have just been quoted 1000 to have them flown over. Is it worth the hassle of customs or should i buy new? How do prices compare UK Next with Qatar Next?,is Doha expensive?. I haven't moved there yet and was wondering how it compares to most European cities... eating out; supermarket shopping; clothes; cosmetics; etc.,1
42,85,86,Is it cheaper to buy new clothes in Qatar than pay to transport them over from the UK?. I begin employment in Qatar Aug 09 and have just been quoted 1000 to have them flown over. Is it worth the hassle of customs or should i buy new? How do prices compare UK Next with Qatar Next?,Newborn child. Hi guys ... a very silly question but i'm due to be a dad next year in June (w00t!!! w00t!!!) ... just wanted to see how much on average do the parents spend on their newborn kids (milk; clothes; nappies etc.)?,0
43,87,88,Is it cheaper to buy new clothes in Qatar than pay to transport them over from the UK?. I begin employment in Qatar Aug 09 and have just been quoted 1000 to have them flown over. Is it worth the hassle of customs or should i buy new? How do prices compare UK Next with Qatar Next?,Why is Doha SO EXPENSIVE?. What the hell??! I mean; it's not like it's San Francisco or New York City!! So-called limo service (in a FORD!) cost $30 for one mile ride. Karwa taxi is not that cheap either: 1 mile ride was like $12. Food was also insanely expensive. Hotels were just an outrage. What's the deal?! Is this a strategy to make Doha a party city for the rich only?! but then; those who're rich is because they didn't spend their money on stupid stuff like a $50 lunch!,0
44,89,90,Is it cheaper to buy new clothes in Qatar than pay to transport them over from the UK?. I begin employment in Qatar Aug 09 and have just been quoted 1000 to have them flown over. Is it worth the hassle of customs or should i buy new? How do prices compare UK Next with Qatar Next?,Gift vouchers for Doha?. Hello; I live in England and my sister is in Doha. Is it possible for me to purchase gift vouchers for my sister to use in department stores in Doha? I would like to pay online and then email my sister a reference. Does anybody know of any shops that allow this?,0
45,91,92,Is it cheaper to buy new clothes in Qatar than pay to transport them over from the UK?. I begin employment in Qatar Aug 09 and have just been quoted 1000 to have them flown over. Is it worth the hassle of customs or should i buy new? How do prices compare UK Next with Qatar Next?,Qatari Wedding. We have been invited to a Qatari Wedding this Thursday; and apart from not knowing anyone (as my husband will be on the men's party and I will be at the women's party - to state the obvious!) I have no idea what to expect and what the customs are.  What should I wear? Do we bring a gift?  What happens during a wedding? I am very honored to have been invited but terrified of making a fool of my self!,0
46,93,94,Is it cheaper to buy new clothes in Qatar than pay to transport them over from the UK?. I begin employment in Qatar Aug 09 and have just been quoted 1000 to have them flown over. Is it worth the hassle of customs or should i buy new? How do prices compare UK Next with Qatar Next?,Any Singaporeans in Doha?. Hiya! My husband and I will be relocating to Doha before the end of the year from Singapore. Would be great to meet up with fellow singaporeans or anyone who would like to meet up with us (fellow newbies or folks who have been in Doha for a while). We are looking for a place to stay too; either an apartment or villa. We can't wait to get there!,0
47,95,96,Is it cheaper to buy new clothes in Qatar than pay to transport them over from the UK?. I begin employment in Qatar Aug 09 and have just been quoted 1000 to have them flown over. Is it worth the hassle of customs or should i buy new? How do prices compare UK Next with Qatar Next?,shipping personal effects. Just wondering if it's worth shipping the kids bikes; skateboards; xbox360 etc over with our other personal effects from New Zealand? What have others done? Cheers!,0
48,97,98,Is it cheaper to buy new clothes in Qatar than pay to transport them over from the UK?. I begin employment in Qatar Aug 09 and have just been quoted 1000 to have them flown over. Is it worth the hassle of customs or should i buy new? How do prices compare UK Next with Qatar Next?,immigrate to other country?.  do we consider Qatar as our home? I am just wondering; are there and how many (if any) of us would like to immigrate to another country; let&#39;s say to US or Canada?,0
49,99,100,Is it cheaper to buy new clothes in Qatar than pay to transport them over from the UK?. I begin employment in Qatar Aug 09 and have just been quoted 1000 to have them flown over. Is it worth the hassle of customs or should i buy new? How do prices compare UK Next with Qatar Next?,Teachers heading to AKIS Al Khor?. Anybody else out there starting at Al Khor International School in September 2010? Would be good to make some contacts in advance; share info etc. Already have a colleague there that I used to work with (2 in fact) but keen to hear from others too.,0
50,101,102,Can we resign from the job??. My employer have recruited me as a Business Development Executive in a Labor Visa.I am put on a Impossible task.I want to resign from the Job.Can I do that??,PERSONAL LOAN AND WORK TERMINATION. I am currently working here in Qatar; our employer informed us that they will transfer to contractor with less salary; but we have option not to accept; but the problem is I have Personal Loan in one of the BAnk here in DOHA; what if I will not accept the offer; what will happen to me ; I mean did the BAnk will force to pay or not?,0
51,103,104,Can we resign from the job??. My employer have recruited me as a Business Development Executive in a Labor Visa.I am put on a Impossible task.I want to resign from the Job.Can I do that??,AFTER RESIGNATION BENIFITS AS PER QATAR LAW. I AM WORKING IN QATAR ON LAST 6 YEARS; MY PRESENT SALARY 5000 QR; I WOULD LIKE TO RESIGN FROM MY JOB AND SETTLE BACK TO MY NATIV COUNTRY; CAN U PLEASE ADVISE ME WHAT KIND OF BENEFITS I CAN EXPECT ACCORDING TO QATAR LABOR LAW. (IS IT COMPANY CAN GIVE THE GRATUITY TOGETHER WITH MONTHLY SALARY IS IT ALLOW BY THE LAW HERE) IF I GO LEGAL ACTION AGAINST COMPANY ANY USE?? PLEASE ADVISE,1
52,105,106,Can we resign from the job??. My employer have recruited me as a Business Development Executive in a Labor Visa.I am put on a Impossible task.I want to resign from the Job.Can I do that??,Resigning within probation period. Dear All; I have been working with a local company; my probaion period is 6 months. however i m not happy with my job; and would like to change. i got another offer from different co. 1.can i resign? if so how many days notice as per qatari law. 2.can i change my sponsorship to my new company I have done medical but finger print NOT done; not contract sign.. pls help me,1
53,107,108,Can we resign from the job??. My employer have recruited me as a Business Development Executive in a Labor Visa.I am put on a Impossible task.I want to resign from the Job.Can I do that??,Ban in Qatar. I just want to ask if there is new rules about the ban in Qatar;once you are cancelled. Is there any ways to comeback and seek for a job again?,1
54,109,110,Can we resign from the job??. My employer have recruited me as a Business Development Executive in a Labor Visa.I am put on a Impossible task.I want to resign from the Job.Can I do that??,husband visa not allow to resign;what to do?. My wife in my sponsorship (husband visa). Currently working in a company here in qatar; But she decided to resign. And her employee(owner of the company) doesn't want to allow her to resign; they say they will sue us and we will meet in the court? Is this possible? if ever my wife sign a contract to them and not yet finished; can they really sue her? If ever; anyone knows a lawyer to help us? thanks!,0
55,111,112,Can we resign from the job??. My employer have recruited me as a Business Development Executive in a Labor Visa.I am put on a Impossible task.I want to resign from the Job.Can I do that??,probation period. Hi Guys; I got a job offer from Qatar and the probation periods are for three months. If for any reason I dont like the company or the job; can I leave my job? I need some advise from the experts out here. Thanks,1
56,113,114,Can we resign from the job??. My employer have recruited me as a Business Development Executive in a Labor Visa.I am put on a Impossible task.I want to resign from the Job.Can I do that??,Is it right to resign from your company at this time of crisis?. Is it right to resign from your job at this time of global crisis? the reason is i'm not doing anything in the office. I feel bored everyday. I fee useless; but I'm hesistant to resign because of the condition today even that I'm on husband sponsor. Please advise me.,1
57,115,116,Can we resign from the job??. My employer have recruited me as a Business Development Executive in a Labor Visa.I am put on a Impossible task.I want to resign from the Job.Can I do that??,How to go home without exit permit. My sponsor is not willing to give me exit permit in the fear of my not return. I am about 3 years at Qatar; and I want to go home on a vacation before Eid. Is there any way to go home without the exit permit from sponsor? I want to go home before Eid; no matter what does it cost; even cancellation of my visa. Thank you for your advice.,0
58,117,118,Can we resign from the job??. My employer have recruited me as a Business Development Executive in a Labor Visa.I am put on a Impossible task.I want to resign from the Job.Can I do that??,5 Years Gratuity. Hi to all; I'm six years now working my company can i get my 5 years gratuity pay from my company? Any labor law related to it? Thanks for your help.,0
59,119,120,Can we resign from the job??. My employer have recruited me as a Business Development Executive in a Labor Visa.I am put on a Impossible task.I want to resign from the Job.Can I do that??,Hamad Medical corp Salary. hey guys. I`m a nurse here in the phils. i just signed a contract for hamad as a staff nurse. the offer is 5600 qatar riyals per month plus 1000 qatar riyal for transportation allowance. Is that a great deal? how about the free accommodation does it look good? I`m anxious about my new job. help pls.,0
60,121,122,anyone knows where the best to sell or trade cars here in Doha?. i was thinking of trading or selling my car. in case i want to trade it; where is the best trading company? as well as to where to sell it?,Where can i buy Tyres for my Car???. Hey... Just wanted to check where i can get tyres for my car.. and of course at the best prices.. lol.. Cheerz,1
61,123,124,anyone knows where the best to sell or trade cars here in Doha?. i was thinking of trading or selling my car. in case i want to trade it; where is the best trading company? as well as to where to sell it?,Absolutely cheapest car rental company?. I'm sorry; I know this has been asked before a thousand times. The problem is most of the threads are 4 years old. What is the absolutely cheapest car available for rent through a reputable company? (I'm not interested in renting from anyone's friend; thanks!),0
62,125,126,anyone knows where the best to sell or trade cars here in Doha?. i was thinking of trading or selling my car. in case i want to trade it; where is the best trading company? as well as to where to sell it?,Expats buying property in Qatar. Have any expats on this forum either bought property in Qatar; or considered buying and then rejected - i.e zig zag towers; the Pearl etc ? I'm trying to evaluate whether or not this would be a good investment. What do you think are the potential risks and upsides ? If you have bought; what was your experience of the process and in hindsight; was it a good decision ? Regards,0
63,127,128,anyone knows where the best to sell or trade cars here in Doha?. i was thinking of trading or selling my car. in case i want to trade it; where is the best trading company? as well as to where to sell it?,business opportunities in Qatar. hi every one;please help me put in finding some business oppurtunities in Qatar. jus let me know what business Qatar is lacking?that you find missing from other GCC countries... any scope for new business or new style of doing the existing business. or the changes you expect in the current Qatar Market...,0
64,129,130,anyone knows where the best to sell or trade cars here in Doha?. i was thinking of trading or selling my car. in case i want to trade it; where is the best trading company? as well as to where to sell it?,Good cleaning company in Doha?. Hi; Can anyone recommend me a professional cleaning company? I am tired of finding my apartment half-cleaned by untrustworthy people. Your suggestions are welcome...,0
65,131,132,anyone knows where the best to sell or trade cars here in Doha?. i was thinking of trading or selling my car. in case i want to trade it; where is the best trading company? as well as to where to sell it?,Pc Modders And Gamers.... Any Pc Modders here?? Any hardcore gamers around?? If yes; then this is the place for you all... Discussing about Pc Modifications; Building Higher End Rigs; Computer related discussions; doubts anything...,0
66,133,134,anyone knows where the best to sell or trade cars here in Doha?. i was thinking of trading or selling my car. in case i want to trade it; where is the best trading company? as well as to where to sell it?,Is medical treatment for residents free?. I just heard that medical treatment for residents is free. And can not believe that. I heard that medical treatment for native qataris is free; which seems plausible. But does that also apply for anyone who has residence status?,0
67,135,136,anyone knows where the best to sell or trade cars here in Doha?. i was thinking of trading or selling my car. in case i want to trade it; where is the best trading company? as well as to where to sell it?,Part-time job from home????. Hi there; I am looking for a part-time job I can do from home: writing; data-entry but please no tutoring. Is there a way of making some extra money from home?,0
68,137,138,anyone knows where the best to sell or trade cars here in Doha?. i was thinking of trading or selling my car. in case i want to trade it; where is the best trading company? as well as to where to sell it?,Any Singaporeans in Doha?. Hiya! My husband and I will be relocating to Doha before the end of the year from Singapore. Would be great to meet up with fellow singaporeans or anyone who would like to meet up with us (fellow newbies or folks who have been in Doha for a while). We are looking for a place to stay too; either an apartment or villa. We can't wait to get there!,0
69,139,140,anyone knows where the best to sell or trade cars here in Doha?. i was thinking of trading or selling my car. in case i want to trade it; where is the best trading company? as well as to where to sell it?,Prostitution in Qatar - Any Solution?. I know atleast two women who are sleeping with various men for money and I wish I could do something to stop them.Is there any number to call to inform about them?,0
70,141,142,my doubt. I would like to know some information from you all . Suppose someone came here under visit visa and extended it up to six month. Then after six month he went; my doubt is that; how many moths should he wait to come here again after. Can he come here again within one month under a new visit visa?,one more douby please. can one go to dubai for one week and come back here ;if he is under personal visit visa(6 month)? ... is it posible ?,1
71,143,144,my doubt. I would like to know some information from you all . Suppose someone came here under visit visa and extended it up to six month. Then after six month he went; my doubt is that; how many moths should he wait to come here again after. Can he come here again within one month under a new visit visa?,Cheap European Cars.... Why & How The European cars become more expensive in maintainence and spare parts than any other vehicles??,0
72,145,146,my doubt. I would like to know some information from you all . Suppose someone came here under visit visa and extended it up to six month. Then after six month he went; my doubt is that; how many moths should he wait to come here again after. Can he come here again within one month under a new visit visa?,whether aeroplane can stay still in air befor landing? please give me an answer. ,0
73,147,148,my doubt. I would like to know some information from you all . Suppose someone came here under visit visa and extended it up to six month. Then after six month he went; my doubt is that; how many moths should he wait to come here again after. Can he come here again within one month under a new visit visa?,Dual Residence Permit In Gcc. Hi... I am an Indian Doctor and working as a visiting consultant in UAE 1 week for a month (i have residence permit in UAE). Now i got another offer in Qatar as a consultant 2 weeks for a month. Both are different employers. Can i get Residence permit in qatar? Could i get dual RP ? kindly let me know your valuable informations.,1
74,149,150,my doubt. I would like to know some information from you all . Suppose someone came here under visit visa and extended it up to six month. Then after six month he went; my doubt is that; how many moths should he wait to come here again after. Can he come here again within one month under a new visit visa?,Big-time doubt-Ladies only!. okay girls....this is a doubt that has been bugging me since quite some time.i've been using this particular shampoo since a few months.it promises to give health and shine to hair.but there are other shampoos which give bounce;strength;volume;etc.is it okay if i mix a couple of shampoos and use?i asked one of my friends and she says it's not advisable.... what do y'all think?,0
75,151,152,my doubt. I would like to know some information from you all . Suppose someone came here under visit visa and extended it up to six month. Then after six month he went; my doubt is that; how many moths should he wait to come here again after. Can he come here again within one month under a new visit visa?,Doha Bank Customer Care. Doha Bank's customer care is horrible. The lady answering the calls does not know even the basics of Doha Bank procedures etc. The others are equally unqualified. God knows how they run such a big bank with all these idiots whose only response is 'Please visit your branch for further deyails'. I say - If I had the time to visit my branch why the heck 'am I calling you? Fair ?,0
76,153,154,my doubt. I would like to know some information from you all . Suppose someone came here under visit visa and extended it up to six month. Then after six month he went; my doubt is that; how many moths should he wait to come here again after. Can he come here again within one month under a new visit visa?,Marriage Certificate Attestation. HI All; Anybody can tell me what kind of attestation are the MOL looking for on the marriage certificate for family visit visa? Also if its really needed to get a visit visa for my wife? Thanks & Regards Gokul Govind,0
